country	continent	year	lifeExp	pop	gdpPercap
Botswana	Africa	1982	61.484	970347	4551.14215
Botswana	Africa	1987	63.622	1151184	6205.88385
Botswana	Africa	1992	62.745	1342614	7954.111645
Botswana	Africa	1997	52.556	1536536	8647.142313
Botswana	Africa	2002	46.634	1630347	11003.60508
Botswana	Africa	2007	50.728	1639131	12569.85177
Burkina Faso	Africa	1952	31.975	4469979	543.2552413
Burkina Faso	Africa	1957	34.906	4713416	617.1834648
Burkina Faso	Africa	1962	37.814	4919632	722.5120206
Burkina Faso	Africa	1967	40.697	5127935	794.8265597
Burkina Faso	Africa	1972	43.591	5433886	854.7359763
Burkina Faso	Africa	1977	46.137	5889574	743.3870368
Burkina Faso	Africa	1982	48.122	6634596	807.1985855
Burkina Faso	Africa	1987	49.557	7586551	912.0631417
Burkina Faso	Africa	1992	50.26	8878303	931.7527731
Burkina Faso	Africa	1997	50.324	10352843	946.2949618
Burkina Faso	Africa	2002	50.65	12251209	1037.645221
Burkina Faso	Africa	2007	52.295	14326203	1217.032994
Burundi	Africa	1952	39.031	2445618	339.2964587
Burundi	Africa	1957	40.533	2667518	379.5646281
Burundi	Africa	1962	42.045	2961915	355.2032273
Burundi	Africa	1967	43.548	3330989	412.9775136
Burundi	Africa	1972	44.057	3529983	464.0995039
Burundi	Africa	1977	45.91	3834415	556.1032651
Burundi	Africa	1982	47.471	4580410	559.603231
Burundi	Africa	1987	48.211	5126023	621.8188189
Burundi	Africa	1992	44.736	5809236	631.6998778
Burundi	Africa	1997	45.326	6121610	463.1151478
Burundi	Africa	2002	47.36	7021078	446.4035126
Burundi	Africa	2007	49.58	8390505	430.0706916
Cameroon	Africa	1952	38.523	5009067	1172.667655
Cameroon	Africa	1957	40.428	5359923	1313.048099
Cameroon	Africa	1962	42.643	5793633	1399.607441
Cameroon	Africa	1967	44.799	6335506	1508.453148
Cameroon	Africa	1972	47.049	7021028	1684.146528
Cameroon	Africa	1977	49.355	7959865	1783.432873
Cameroon	Africa	1982	52.961	9250831	2367.983282
Cameroon	Africa	1987	54.985	10780667	2602.664206
Cameroon	Africa	1992	54.314	12467171	1793.163278
Cameroon	Africa	1997	52.199	14195809	1694.337469
Cameroon	Africa	2002	49.856	15929988	1934.011449
Cameroon	Africa	2007	50.43	17696293	2042.09524
Central African Republic	Africa	1952	35.463	1291695	1071.310713
Central African Republic	Africa	1957	37.464	1392284	1190.844328
Central African Republic	Africa	1962	39.475	1523478	1193.068753
Central African Republic	Africa	1967	41.478	1733638	1136.056615
Central African Republic	Africa	1972	43.457	1927260	1070.013275
Central African Republic	Africa	1977	46.775	2167533	1109.374338
Central African Republic	Africa	1982	48.295	2476971	956.7529907
Central African Republic	Africa	1987	50.485	2840009	844.8763504
Central African Republic	Africa	1992	49.396	3265124	747.9055252
Central African Republic	Africa	1997	46.066	3696513	740.5063317
Central African Republic	Africa	2002	43.308	4048013	738.6906068
Central African Republic	Africa	2007	44.741	4369038	706.016537
Chad	Africa	1952	38.092	2682462	1178.665927
Chad	Africa	1957	39.881	2894855	1308.495577
Chad	Africa	1962	41.716	3150417	1389.817618
Chad	Africa	1967	43.601	3495967	1196.810565
Chad	Africa	1972	45.569	3899068	1104.103987
Chad	Africa	1977	47.383	4388260	1133.98495
Chad	Africa	1982	49.517	4875118	797.9081006
Chad	Africa	1987	51.051	5498955	952.386129
Chad	Africa	1992	51.724	6429417	1058.0643
Chad	Africa	1997	51.573	7562011	1004.961353
Chad	Africa	2002	50.525	8835739	1156.18186
Chad	Africa	2007	50.651	10238807	1704.063724
Comoros	Africa	1952	40.715	153936	1102.990936
Comoros	Africa	1957	42.46	170928	1211.148548
Comoros	Africa	1962	44.467	191689	1406.648278
Comoros	Africa	1967	46.472	217378	1876.029643
Comoros	Africa	1972	48.944	250027	1937.577675
Comoros	Africa	1977	50.939	304739	1172.603047
Comoros	Africa	1982	52.933	348643	1267.100083
Comoros	Africa	1987	54.926	395114	1315.980812
Comoros	Africa	1992	57.939	454429	1246.90737
Comoros	Africa	1997	60.66	527982	1173.618235
Comoros	Africa	2002	62.974	614382	1075.811558
Comoros	Africa	2007	65.152	710960	986.1478792
Congo, Dem. Rep.	Africa	1952	39.143	14100005	780.5423257
Congo, Dem. Rep.	Africa	1957	40.652	15577932	905.8602303
Congo, Dem. Rep.	Africa	1962	42.122	17486434	896.3146335
Congo, Dem. Rep.	Africa	1967	44.056	19941073	861.5932424
Congo, Dem. Rep.	Africa	1972	45.989	23007669	904.8960685
Congo, Dem. Rep.	Africa	1977	47.804	26480870	795.757282
Congo, Dem. Rep.	Africa	1982	47.784	30646495	673.7478181
Congo, Dem. Rep.	Africa	1987	47.412	35481645	672.774812
Congo, Dem. Rep.	Africa	1992	45.548	41672143	457.7191807
Congo, Dem. Rep.	Africa	1997	42.587	47798986	312.188423
Congo, Dem. Rep.	Africa	2002	44.966	55379852	241.1658765
Congo, Dem. Rep.	Africa	2007	46.462	64606759	277.5518587
Congo, Rep.	Africa	1952	42.111	854885	2125.621418
Congo, Rep.	Africa	1957	45.053	940458	2315.056572
Congo, Rep.	Africa	1962	48.435	1047924	2464.783157
Congo, Rep.	Africa	1967	52.04	1179760	2677.939642
Congo, Rep.	Africa	1972	54.907	1340458	3213.152683
Congo, Rep.	Africa	1977	55.625	1536769	3259.178978
Congo, Rep.	Africa	1982	56.695	1774735	4879.507522
Congo, Rep.	Africa	1987	57.47	2064095	4201.194937
Congo, Rep.	Africa	1992	56.433	2409073	4016.239529
Congo, Rep.	Africa	1997	52.962	2800947	3484.164376
Congo, Rep.	Africa	2002	52.97	3328795	3484.06197
Congo, Rep.	Africa	2007	55.322	3800610	3632.557798
Cote d'Ivoire	Africa	1952	40.477	2977019	1388.594732
Cote d'Ivoire	Africa	1957	42.469	3300000	1500.895925
Cote d'Ivoire	Africa	1962	44.93	3832408	1728.869428
Cote d'Ivoire	Africa	1967	47.35	4744870	2052.050473
Cote d'Ivoire	Africa	1972	49.801	6071696	2378.201111
Cote d'Ivoire	Africa	1977	52.374	7459574	2517.736547
Cote d'Ivoire	Africa	1982	53.983	9025951	2602.710169
Cote d'Ivoire	Africa	1987	54.655	10761098	2156.956069
Cote d'Ivoire	Africa	1992	52.044	12772596	1648.073791
Cote d'Ivoire	Africa	1997	47.991	14625967	1786.265407
Cote d'Ivoire	Africa	2002	46.832	16252726	1648.800823
Cote d'Ivoire	Africa	2007	48.328	18013409	1544.750112
Djibouti	Africa	1952	34.812	63149	2669.529475
Djibouti	Africa	1957	37.328	71851	2864.969076
Djibouti	Africa	1962	39.693	89898	3020.989263
Djibouti	Africa	1967	42.074	127617	3020.050513
Djibouti	Africa	1972	44.366	178848	3694.212352
Djibouti	Africa	1977	46.519	228694	3081.761022
Djibouti	Africa	1982	48.812	305991	2879.468067
Djibouti	Africa	1987	50.04	311025	2880.102568
Djibouti	Africa	1992	51.604	384156	2377.156192
Djibouti	Africa	1997	53.157	417908	1895.016984
Djibouti	Africa	2002	53.373	447416	1908.260867
Djibouti	Africa	2007	54.791	496374	2082.481567
Egypt	Africa	1952	41.893	22223309	1418.822445
Egypt	Africa	1957	44.444	25009741	1458.915272
Egypt	Africa	1962	46.992	28173309	1693.335853
Egypt	Africa	1967	49.293	31681188	1814.880728
Egypt	Africa	1972	51.137	34807417	2024.008147
Egypt	Africa	1977	53.319	38783863	2785.493582
Egypt	Africa	1982	56.006	45681811	3503.729636
Egypt	Africa	1987	59.797	52799062	3885.46071
Egypt	Africa	1992	63.674	59402198	3794.755195
Egypt	Africa	1997	67.217	66134291	4173.181797
Egypt	Africa	2002	69.806	73312559	4754.604414
Egypt	Africa	2007	71.338	80264543	5581.180998
Equatorial Guinea	Africa	1952	34.482	216964	375.6431231
Equatorial Guinea	Africa	1957	35.983	232922	426.0964081
Equatorial Guinea	Africa	1962	37.485	249220	582.8419714
Equatorial Guinea	Africa	1967	38.987	259864	915.5960025
Equatorial Guinea	Africa	1972	40.516	277603	672.4122571
Equatorial Guinea	Africa	1977	42.024	192675	958.5668124
Equatorial Guinea	Africa	1982	43.662	285483	927.8253427
Equatorial Guinea	Africa	1987	45.664	341244	966.8968149
Equatorial Guinea	Africa	1992	47.545	387838	1132.055034
Equatorial Guinea	Africa	1997	48.245	439971	2814.480755
Equatorial Guinea	Africa	2002	49.348	495627	7703.4959
Equatorial Guinea	Africa	2007	51.579	551201	12154.08975
Eritrea	Africa	1952	35.928	1438760	328.9405571
Eritrea	Africa	1957	38.047	1542611	344.1618859
Eritrea	Africa	1962	40.158	1666618	380.9958433
Eritrea	Africa	1967	42.189	1820319	468.7949699
Eritrea	Africa	1972	44.142	2260187	514.3242082
Eritrea	Africa	1977	44.535	2512642	505.7538077
Eritrea	Africa	1982	43.89	2637297	524.8758493
Eritrea	Africa	1987	46.453	2915959	521.1341333
Eritrea	Africa	1992	49.991	3668440	582.8585102
Eritrea	Africa	1997	53.378	4058319	913.47079
Eritrea	Africa	2002	55.24	4414865	765.3500015
Eritrea	Africa	2007	58.04	4906585	641.3695236
Ethiopia	Africa	1952	34.078	20860941	362.1462796
Ethiopia	Africa	1957	36.667	22815614	378.9041632
Ethiopia	Africa	1962	40.059	25145372	419.4564161
Ethiopia	Africa	1967	42.115	27860297	516.1186438
Ethiopia	Africa	1972	43.515	30770372	566.2439442
Ethiopia	Africa	1977	44.51	34617799	556.8083834
Ethiopia	Africa	1982	44.916	38111756	577.8607471
Ethiopia	Africa	1987	46.684	42999530	573.7413142
Ethiopia	Africa	1992	48.091	52088559	421.3534653
Ethiopia	Africa	1997	49.402	59861301	515.8894013
Ethiopia	Africa	2002	50.725	67946797	530.0535319
Ethiopia	Africa	2007	52.947	76511887	690.8055759
Gabon	Africa	1952	37.003	420702	4293.476475
Gabon	Africa	1957	38.999	434904	4976.198099
Gabon	Africa	1962	40.489	455661	6631.459222
Gabon	Africa	1967	44.598	489004	8358.761987
Gabon	Africa	1972	48.69	537977	11401.94841
Gabon	Africa	1977	52.79	706367	21745.57328
Gabon	Africa	1982	56.564	753874	15113.36194
Gabon	Africa	1987	60.19	880397	11864.40844
Gabon	Africa	1992	61.366	985739	13522.15752
Gabon	Africa	1997	60.461	1126189	14722.84188
Gabon	Africa	2002	56.761	1299304	12521.71392
Gabon	Africa	2007	56.735	1454867	13206.48452
Gambia	Africa	1952	30	284320	485.2306591
Gambia	Africa	1957	32.065	323150	520.9267111
Gambia	Africa	1962	33.896	374020	599.650276
Gambia	Africa	1967	35.857	439593	734.7829124
Gambia	Africa	1972	38.308	517101	756.0868363
Gambia	Africa	1977	41.842	608274	884.7552507
Gambia	Africa	1982	45.58	715523	835.8096108
Gambia	Africa	1987	49.265	848406	611.6588611
Gambia	Africa	1992	52.644	1025384	665.6244126
Gambia	Africa	1997	55.861	1235767	653.7301704
Gambia	Africa	2002	58.041	1457766	660.5855997
Gambia	Africa	2007	59.448	1688359	752.7497265
Ghana	Africa	1952	43.149	5581001	911.2989371
Ghana	Africa	1957	44.779	6391288	1043.561537
Ghana	Africa	1962	46.452	7355248	1190.041118
Ghana	Africa	1967	48.072	8490213	1125.69716
Ghana	Africa	1972	49.875	9354120	1178.223708
Ghana	Africa	1977	51.756	10538093	993.2239571
Ghana	Africa	1982	53.744	11400338	876.032569
Ghana	Africa	1987	55.729	14168101	847.0061135
Ghana	Africa	1992	57.501	16278738	925.060154
Ghana	Africa	1997	58.556	18418288	1005.245812
Ghana	Africa	2002	58.453	20550751	1111.984578
Ghana	Africa	2007	60.022	22873338	1327.60891
Guinea	Africa	1952	33.609	2664249	510.1964923
Guinea	Africa	1957	34.558	2876726	576.2670245
Guinea	Africa	1962	35.753	3140003	686.3736739
Guinea	Africa	1967	37.197	3451418	708.7595409
Guinea	Africa	1972	38.842	3811387	741.6662307
Guinea	Africa	1977	40.762	4227026	874.6858643
Guinea	Africa	1982	42.891	4710497	857.2503577
Guinea	Africa	1987	45.552	5650262	805.5724718
Guinea	Africa	1992	48.576	6990574	794.3484384
Guinea	Africa	1997	51.455	8048834	869.4497668
Guinea	Africa	2002	53.676	8807818	945.5835837
Guinea	Africa	2007	56.007	9947814	942.6542111
Guinea-Bissau	Africa	1952	32.5	580653	299.850319
Guinea-Bissau	Africa	1957	33.489	601095	431.7904566
Guinea-Bissau	Africa	1962	34.488	627820	522.0343725
Guinea-Bissau	Africa	1967	35.492	601287	715.5806402
Guinea-Bissau	Africa	1972	36.486	625361	820.2245876
Guinea-Bissau	Africa	1977	37.465	745228	764.7259628
Guinea-Bissau	Africa	1982	39.327	825987	838.1239671
Guinea-Bissau	Africa	1987	41.245	927524	736.4153921
Guinea-Bissau	Africa	1992	43.266	1050938	745.5398706
Guinea-Bissau	Africa	1997	44.873	1193708	796.6644681
Guinea-Bissau	Africa	2002	45.504	1332459	575.7047176
Guinea-Bissau	Africa	2007	46.388	1472041	579.231743
Kenya	Africa	1952	42.27	6464046	853.540919
Kenya	Africa	1957	44.686	7454779	944.4383152
Kenya	Africa	1962	47.949	8678557	896.9663732
Kenya	Africa	1967	50.654	10191512	1056.736457
Kenya	Africa	1972	53.559	12044785	1222.359968
Kenya	Africa	1977	56.155	14500404	1267.613204
Kenya	Africa	1982	58.766	17661452	1348.225791
Kenya	Africa	1987	59.339	21198082	1361.936856
Kenya	Africa	1992	59.285	25020539	1341.921721
Kenya	Africa	1997	54.407	28263827	1360.485021
Kenya	Africa	2002	50.992	31386842	1287.514732
Kenya	Africa	2007	54.11	35610177	1463.249282
Lesotho	Africa	1952	42.138	748747	298.8462121
Lesotho	Africa	1957	45.047	813338	335.9971151
Lesotho	Africa	1962	47.747	893143	411.8006266
Lesotho	Africa	1967	48.492	996380	498.6390265
Lesotho	Africa	1972	49.767	1116779	496.5815922
Lesotho	Africa	1977	52.208	1251524	745.3695408
Lesotho	Africa	1982	55.078	1411807	797.2631074
Lesotho	Africa	1987	57.18	1599200	773.9932141
Lesotho	Africa	1992	59.685	1803195	977.4862725
Lesotho	Africa	1997	55.558	1982823	1186.147994
Lesotho	Africa	2002	44.593	2046772	1275.184575
Lesotho	Africa	2007	42.592	2012649	1569.331442
Liberia	Africa	1952	38.48	863308	575.5729961
Liberia	Africa	1957	39.486	975950	620.9699901
Liberia	Africa	1962	40.502	1112796	634.1951625
Liberia	Africa	1967	41.536	1279406	713.6036483
Liberia	Africa	1972	42.614	1482628	803.0054535
Liberia	Africa	1977	43.764	1703617	640.3224383
Liberia	Africa	1982	44.852	1956875	572.1995694
Liberia	Africa	1987	46.027	2269414	506.1138573
Liberia	Africa	1992	40.802	1912974	636.6229191
Liberia	Africa	1997	42.221	2200725	609.17395079999994
Liberia	Africa	2002	43.753	2814651	531.4823679
Liberia	Africa	2007	45.678	3193942	414.5073415
Libya	Africa	1952	42.723	1019729	2387.54806
Libya	Africa	1957	45.289	1201578	3448.284395
Libya	Africa	1962	47.808	1441863	6757.030816
Libya	Africa	1967	50.227	1759224	18772.75169
Libya	Africa	1972	52.773	2183877	21011.49721
Libya	Africa	1977	57.442	2721783	21951.21176
Libya	Africa	1982	62.155	3344074	17364.27538
Libya	Africa	1987	66.234	3799845	11770.5898
Libya	Africa	1992	68.755	4364501	9640.138501
Libya	Africa	1997	71.555	4759670	9467.446056
Libya	Africa	2002	72.737	5368585	9534.677467
Libya	Africa	2007	73.952	6036914	12057.49928
Madagascar	Africa	1952	36.681	4762912	1443.011715
Madagascar	Africa	1957	38.865	5181679	1589.20275
Madagascar	Africa	1962	40.848	5703324	1643.38711
Madagascar	Africa	1967	42.881	6334556	1634.047282
Madagascar	Africa	1972	44.851	7082430	1748.562982
Madagascar	Africa	1977	46.881	8007166	1544.228586
Madagascar	Africa	1982	48.969	9171477	1302.878658
Madagascar	Africa	1987	49.35	10568642	1155.441948
Madagascar	Africa	1992	52.214	12210395	1040.67619
Madagascar	Africa	1997	54.978	14165114	986.2958956
Madagascar	Africa	2002	57.286	16473477	894.6370822
Madagascar	Africa	2007	59.443	19167654	1044.770126
Malawi	Africa	1952	36.256	2917802	369.1650802
Malawi	Africa	1957	37.207	3221238	416.3698064
Malawi	Africa	1962	38.41	3628608	427.9010856
Malawi	Africa	1967	39.487	4147252	495.5147806
Malawi	Africa	1972	41.766	4730997	584.6219709
Malawi	Africa	1977	43.767	5637246	663.2236766
Malawi	Africa	1982	45.642	6502825	632.8039209
Malawi	Africa	1987	47.457	7824747	635.5173634
Malawi	Africa	1992	49.42	10014249	563.2000145
Malawi	Africa	1997	47.495	10419991	692.2758103
Malawi	Africa	2002	45.009	11824495	665.4231186
Malawi	Africa	2007	48.303	13327079	759.3499101
Mali	Africa	1952	33.685	3838168	452.3369807
Mali	Africa	1957	35.307	4241884	490.3821867
Mali	Africa	1962	36.936	4690372	496.1743428
Mali	Africa	1967	38.487	5212416	545.0098873
Mali	Africa	1972	39.977	5828158	581.3688761
Mali	Africa	1977	41.714	6491649	686.3952693
Mali	Africa	1982	43.916	6998256	618.0140641
Mali	Africa	1987	46.364	7634008	684.1715576
Mali	Africa	1992	48.388	8416215	739.014375
Mali	Africa	1997	49.903	9384984	790.2579846
Mali	Africa	2002	51.818	10580176	951.4097518
Mali	Africa	2007	54.467	12031795	1042.581557
Mauritania	Africa	1952	40.543	1022556	743.1159097
Mauritania	Africa	1957	42.338	1076852	846.1202613
Mauritania	Africa	1962	44.248	1146757	1055.896036
Mauritania	Africa	1967	46.289	1230542	1421.145193
Mauritania	Africa	1972	48.437	1332786	1586.851781
Mauritania	Africa	1977	50.852	1456688	1497.492223
Mauritania	Africa	1982	53.599	1622136	1481.150189
Mauritania	Africa	1987	56.145	1841240	1421.603576
Mauritania	Africa	1992	58.333	2119465	1361.369784
Mauritania	Africa	1997	60.43	2444741	1483.136136
Mauritania	Africa	2002	62.247	2828858	1579.019543
Mauritania	Africa	2007	64.164	3270065	1803.151496
Mauritius	Africa	1952	50.986	516556	1967.955707
Mauritius	Africa	1957	58.089	609816	2034.037981
Mauritius	Africa	1962	60.246	701016	2529.067487
Mauritius	Africa	1967	61.557	789309	2475.387562
Mauritius	Africa	1972	62.944	851334	2575.484158
Mauritius	Africa	1977	64.93	913025	3710.982963
Mauritius	Africa	1982	66.711	992040	3688.037739
Mauritius	Africa	1987	68.74	1042663	4783.586903
Mauritius	Africa	1992	69.745	1096202	6058.253846
Mauritius	Africa	1997	70.736	1149818	7425.705295
Mauritius	Africa	2002	71.954	1200206	9021.815894
Mauritius	Africa	2007	72.801	1250882	10956.99112
Morocco	Africa	1952	42.873	9939217	1688.20357
Morocco	Africa	1957	45.423	11406350	1642.002314
Morocco	Africa	1962	47.924	13056604	1566.353493
Morocco	Africa	1967	50.335	14770296	1711.04477
Morocco	Africa	1972	52.862	16660670	1930.194975
Morocco	Africa	1977	55.73	18396941	2370.619976
Morocco	Africa	1982	59.65	20198730	2702.620356
Morocco	Africa	1987	62.677	22987397	2755.046991
Morocco	Africa	1992	65.393	25798239	2948.047252
Morocco	Africa	1997	67.66	28529501	2982.101858
Morocco	Africa	2002	69.615	31167783	3258.495584
Morocco	Africa	2007	71.164	33757175	3820.17523
Mozambique	Africa	1952	31.286	6446316	468.5260381
Mozambique	Africa	1957	33.779	7038035	495.5868333
Mozambique	Africa	1962	36.161	7788944	556.6863539
Mozambique	Africa	1967	38.113	8680909	566.6691539
Mozambique	Africa	1972	40.328	9809596	724.9178037
Mozambique	Africa	1977	42.495	11127868	502.3197334
Mozambique	Africa	1982	42.795	12587223	462.2114149
Mozambique	Africa	1987	42.861	12891952	389.8761846
Mozambique	Africa	1992	44.284	13160731	410.8968239
Mozambique	Africa	1997	46.344	16603334	472.3460771
Mozambique	Africa	2002	44.026	18473780	633.6179466
Mozambique	Africa	2007	42.082	19951656	823.6856205
Namibia	Africa	1952	41.725	485831	2423.780443
Namibia	Africa	1957	45.226	548080	2621.448058
Namibia	Africa	1962	48.386	621392	3173.215595
Namibia	Africa	1967	51.159	706640	3793.694753
Namibia	Africa	1972	53.867	821782	3746.080948
Namibia	Africa	1977	56.437	977026	3876.485958
Namibia	Africa	1982	58.968	1099010	4191.100511
Namibia	Africa	1987	60.835	1278184	3693.731337
Namibia	Africa	1992	61.999	1554253	3804.537999
Namibia	Africa	1997	58.909	1774766	3899.52426
Namibia	Africa	2002	51.479	1972153	4072.324751
Namibia	Africa	2007	52.906	2055080	4811.060429
Niger	Africa	1952	37.444	3379468	761.879376
Niger	Africa	1957	38.598	3692184	835.5234025
Niger	Africa	1962	39.487	4076008	997.7661127
Niger	Africa	1967	40.118	4534062	1054.384891
Niger	Africa	1972	40.546	5060262	954.2092363
Niger	Africa	1977	41.291	5682086	808.8970728
Niger	Africa	1982	42.598	6437188	909.7221354
Niger	Africa	1987	44.555	7332638	668.3000228
Niger	Africa	1992	47.391	8392818	581.182725
Niger	Africa	1997	51.313	9666252	580.3052092
Niger	Africa	2002	54.496	11140655	601.0745012
Niger	Africa	2007	56.867	12894865	619.6768924
Nigeria	Africa	1952	36.324	33119096	1077.281856
Nigeria	Africa	1957	37.802	37173340	1100.592563
Nigeria	Africa	1962	39.36	41871351	1150.927478
Nigeria	Africa	1967	41.04	47287752	1014.514104
Nigeria	Africa	1972	42.821	53740085	1698.388838
Nigeria	Africa	1977	44.514	62209173	1981.951806
Nigeria	Africa	1982	45.826	73039376	1576.97375
Nigeria	Africa	1987	46.886	81551520	1385.029563
Nigeria	Africa	1992	47.472	93364244	1619.848217
Nigeria	Africa	1997	47.464	106207839	1624.941275
Nigeria	Africa	2002	46.608	119901274	1615.286395
Nigeria	Africa	2007	46.859	135031164	2013.977305
Reunion	Africa	1952	52.724	257700	2718.885295
Reunion	Africa	1957	55.09	308700	2769.451844
Reunion	Africa	1962	57.666	358900	3173.72334
Reunion	Africa	1967	60.542	414024	4021.175739
Reunion	Africa	1972	64.274	461633	5047.658563
Reunion	Africa	1977	67.064	492095	4319.804067
Reunion	Africa	1982	69.885	517810	5267.219353
Reunion	Africa	1987	71.913	562035	5303.377488
Reunion	Africa	1992	73.615	622191	6101.255823
Reunion	Africa	1997	74.772	684810	6071.941411
Reunion	Africa	2002	75.744	743981	6316.1652
Reunion	Africa	2007	76.442	798094	7670.122558
Rwanda	Africa	1952	40	2534927	493.3238752
Rwanda	Africa	1957	41.5	2822082	540.2893983
Rwanda	Africa	1962	43	3051242	597.4730727
Rwanda	Africa	1967	44.1	3451079	510.9637142
Rwanda	Africa	1972	44.6	3992121	590.5806638
Rwanda	Africa	1977	45	4657072	670.0806011
Rwanda	Africa	1982	46.218	5507565	881.5706467
Rwanda	Africa	1987	44.02	6349365	847.991217
Rwanda	Africa	1992	23.599	7290203	737.0685949
Rwanda	Africa	1997	36.087	7212583	589.9445051
Rwanda	Africa	2002	43.413	7852401	785.6537648
Rwanda	Africa	2007	46.242	8860588	863.0884639
Sao Tome and Principe	Africa	1952	46.471	60011	879.5835855
Sao Tome and Principe	Africa	1957	48.945	61325	860.7369026
Sao Tome and Principe	Africa	1962	51.893	65345	1071.551119
Sao Tome and Principe	Africa	1967	54.425	70787	1384.840593
Sao Tome and Principe	Africa	1972	56.48	76595	1532.985254
Sao Tome and Principe	Africa	1977	58.55	86796	1737.561657
Sao Tome and Principe	Africa	1982	60.351	98593	1890.218117
Sao Tome and Principe	Africa	1987	61.728	110812	1516.525457
Sao Tome and Principe	Africa	1992	62.742	125911	1428.777814
Sao Tome and Principe	Africa	1997	63.306	145608	1339.076036
Sao Tome and Principe	Africa	2002	64.337	170372	1353.09239
Sao Tome and Principe	Africa	2007	65.528	199579	1598.435089
Senegal	Africa	1952	37.278	2755589	1450.356983
Senegal	Africa	1957	39.329	3054547	1567.653006
Senegal	Africa	1962	41.454	3430243	1654.988723
Senegal	Africa	1967	43.563	3965841	1612.404632
Senegal	Africa	1972	45.815	4588696	1597.712056
Senegal	Africa	1977	48.879	5260855	1561.769116
Senegal	Africa	1982	52.379	6147783	1518.479984
Senegal	Africa	1987	55.769	7171347	1441.72072
Senegal	Africa	1992	58.196	8307920	1367.899369
Senegal	Africa	1997	60.187	9535314	1392.368347
Senegal	Africa	2002	61.6	10870037	1519.635262
Senegal	Africa	2007	63.062	12267493	1712.472136
Sierra Leone	Africa	1952	30.331	2143249	879.7877358
Sierra Leone	Africa	1957	31.57	2295678	1004.484437
Sierra Leone	Africa	1962	32.767	2467895	1116.639877
Sierra Leone	Africa	1967	34.113	2662190	1206.043465
Sierra Leone	Africa	1972	35.4	2879013	1353.759762
Sierra Leone	Africa	1977	36.788	3140897	1348.285159
Sierra Leone	Africa	1982	38.445	3464522	1465.010784
Sierra Leone	Africa	1987	40.006	3868905	1294.447788
Sierra Leone	Africa	1992	38.333	4260884	1068.696278
Sierra Leone	Africa	1997	39.897	4578212	574.6481576
Sierra Leone	Africa	2002	41.012	5359092	699.489713
Sierra Leone	Africa	2007	42.568	6144562	862.5407561
Somalia	Africa	1952	32.978	2526994	1135.749842
Somalia	Africa	1957	34.977	2780415	1258.147413
Somalia	Africa	1962	36.981	3080153	1369.488336
Somalia	Africa	1967	38.977	3428839	1284.73318
Somalia	Africa	1972	40.973	3840161	1254.576127
Somalia	Africa	1977	41.974	4353666	1450.992513
Somalia	Africa	1982	42.955	5828892	1176.807031
Somalia	Africa	1987	44.501	6921858	1093.244963
Somalia	Africa	1992	39.658	6099799	926.9602964
Somalia	Africa	1997	43.795	6633514	930.5964284
Somalia	Africa	2002	45.936	7753310	882.0818218
Somalia	Africa	2007	48.159	9118773	926.1410683
South Africa	Africa	1952	45.009	14264935	4725.295531
South Africa	Africa	1957	47.985	16151549	5487.104219
South Africa	Africa	1962	49.951	18356657	5768.729717
